Marca temporal;  ¿Cuál es su edad?  ;¿Con qué género se identifica usted?  ;  ¿En qué comuna reside actualmente?  ;  Alojamiento y estadía  ;Responda esta pregunta solo si en la anterior seleccionó “Sí”.  ;¿Qué tipo de alojamiento utilizó?  ;Transporte: $  ;Alojamiento: $  ;Alimentación: $  ;Compras (vino, recuerdos, artesanías): $  ;Seguridad ;Limpieza  ;Comodidad  ;Programación artística  ;Acceso a baños  ;"¿Estás de acuerdo con la afirmación: ""La Vendimia refuerza la identidad cultural de San Fernando""? "
05-02-2025 18:50;58;;San Fernando;No;0;Casa propia;0;0;5000;5000;5;5;5;1;5;5
05-02-2025 18:55;16;;San Fernando;No;0;Casa;0;0;5000;9000;4;4;4;5;5;4
05-02-2025 19:02;63;;Coquimbo;Sí;3;Casa de amigos o familiares;100000;0;0;100000;5;5;5;5;5;5
05-02-2025 19:04;23;;Coltauco ;No;0;Vienen por el dia;8000;0;60000;50000;5;5;5;1;3;4
05-02-2025 19:06;46;;La cruz;No;0;Viaje;100000;0;50000;50000;5;5;5;3;5;5
05-02-2025 19:07;13;;Coltauco;No;0;Vienen por el dia;10000;0;60000;30000;5;5;5;3;3;3
05-02-2025 19:08;39;;Mostazal;No;0;Viajando;50000;0;50000;50000;5;5;5;3;5;5
05-02-2025 19:09;37;;San Fernando;No;0;Casa propia ;30000;0;10000;0;5;5;5;5;5;5
05-02-2025 19:11;35;;Metropolitana ;No;0;Viaje ;Viaje ;0;40000;15000;5;5;5;3;2;5
05-02-2025 19:13;46;;Metropolitana ;No;0;Viaje;15000;0;45000;15000;5;5;5;3;2;5
05-02-2025 19:13;24;;Antofagasta;No;0;Dia;12000;0;12000;30000;5;5;5;3;5;5
05-02-2025 19:13;38;;San Fernando;No;0;Casa propia ;5000;0;25000;30000;5;5;5;1;5;4
05-02-2025 19:18;58;;Tinguiririca;No;0;Casa propia;2000;0;5000;0;5;5;5;3;3;5
05-02-2025 19:20;41;;San Fernando;No;0;Casa propia ;0;0;10000;13000;5;5;5;5;5;5
05-02-2025 19:21;48;;San Fernando;No;0;Casa propia;10000;0;35000;20000;5;5;5;3;5;3
05-02-2025 19:21;69;;San Fernando;No;0;Casa propia ;0;0;0;0;5;5;5;3;3;5
05-02-2025 19:23;61;;San Fernando;No;0;Casa propia ;0;0;10000;10000;5;5;5;2;2;5
05-02-2025 19:24;35;;Placilla;No;0;Casa propia ;10000;0;30000;30000;5;5;5;4;3;5
05-02-2025 19:29;46;;Santiago ;Sí;1;Cabaña/Airbnb;40000;70000;30000;40000;3;3;4;4;1;5
05-02-2025 19:29;29;;Santiago ;Sí;2,77;Hotel/Hostal;20000;300000;50000;100000;5;5;2;5;2;3
