Región / CUT Comuna ; Nombre Comuna / ACT;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total nacional;;424.743.716;468.420.220;554.824.398;631.450.479;653.457.736;601.817.095;718.437.783;724.226.070;775.757.049;1.042.085.365;1.493.367.086;1.743.636.114;1.661.809.178;1.604.359.134;1.141.887.353;1.011.143.644;1.244.515.248;1.407.903.935;1.240.313.841;;10,30%;18,40%;13,80%;3,50%;-7,90%;19,40%;0,80%;7,10%;34,30%;43,30%;16,80%;-4,70%;-3,50%;-28,80%;-11,40%;23,10%;13,10%;-11,90%
Alojamiento turístico;;15.531.510;16.852.842;23.156.105;27.979.585;27.259.802;54.478.438;33.255.887;39.709.942;38.679.545;223.629.874;214.214.957;207.379.608;25.251.972;47.251.676;48.939.153;27.683.092;37.052.217;51.475.600;63.769.559;;8,50%;37,40%;20,80%;-2,60%;99,80%;-39,00%;19,40%;-2,60%;478,20%;-4,20%;-3,20%;-87,80%;87,10%;3,60%;-43,40%;33,80%;38,90%;23,90%
Actividades de provisión de alimentos y bebidas;;74.889.299;80.493.609;72.998.468;75.088.720;151.258.139;86.940.135;97.963.381;92.123.423;104.385.259;107.167.083;135.684.347;171.291.790;183.759.553;199.183.041;223.406.702;156.185.632;225.359.037;261.684.450;275.002.546;;7,50%;-9,30%;2,90%;101,40%;-42,50%;12,70%;-6,00%;13,30%;2,70%;26,60%;26,20%;7,30%;8,40%;12,20%;-30,10%;44,30%;16,10%;5,10%
Transporte de pasajeros por ferrocarril;; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ;;;;;;;;;;;;;;;;;;;
Transporte de pasajeros por carretera;;12.475.529;18.220.675;27.172.877;31.082.665;30.189.444;32.500.408;75.443.203;59.098.724;64.870.384;103.901.910;70.556.197;60.786.664;63.473.801;57.874.682;65.180.646;57.729.070;70.364.244;77.654.483;85.134.213;;46,10%;49,10%;14,40%;-2,90%;7,70%;132,10%;-21,70%;9,80%;60,20%;-32,10%;-13,80%;4,40%;-8,80%;12,60%;-11,40%;21,90%;10,40%;9,60%
Transporte de pasajeros por agua;;44.373.897;46.623.772;49.536.328;109.895.836;31.522.524;32.588.551;19.430.506;27.677.181;24.574.341;26.808.144;28.494.363;19.819.650;2.409.586;1.670.363;3.252.095;1.586.105;1.500.474;1.960.455;1.839.638;;5,10%;6,20%;121,80%;-71,30%;3,40%;-40,40%;42,40%;-11,20%;9,10%;6,30%;-30,40%;-87,80%;-30,70%;94,70%;-51,20%;-5,40%;30,70%;-6,20%
Transporte aéreo de pasajeros;;19.599.329;29.326.088;94.827.033;118.343.062;25.336.496;30.709.073;40.526.213;37.409.819;31.273.656;31.949.135;31.253.772;13.174.175;4.398.677;12.368.049;20.909.221;84.441.813;10.675.054;200.894.714;53.915.118;;49,60%;223,40%;24,80%;-78,60%;21,20%;32,00%;-7,70%;-16,40%;2,20%;-2,20%;-57,80%;-66,60%;181,20%;69,10%;303,80%;-87,40%;1781,90%;-73,20%
Alquiler de equipos de transporte;;9.668.049;14.255.406;10.598.580;10.998.989;77.841.241;89.425.576;102.117.403;145.924.639;117.919.233;127.005.058;168.346.995;193.736.029;80.150.315;87.156.543;49.825.100;41.153.278;46.081.578;46.102.359;51.820.932;;47,40%;-25,70%;3,80%;607,70%;14,90%;14,20%;42,90%;-19,20%;7,70%;32,60%;15,10%;-58,60%;8,70%;-42,80%;-17,40%;12,00%;0,00%;12,40%
Actividades de agencias de viajes y de otros servicios de reservas;;40.817.257;44.702.846;36.160.396;25.444.621;23.725.014;25.064.513;25.904.496;38.579.851;32.269.259;36.309.023;45.564.758;21.600.908;26.899.629;169.715.973;28.923.760;13.628.741;13.460.452;25.673.399;28.278.072;;9,50%;-19,10%;-29,60%;-6,80%;5,60%;3,40%;48,90%;-16,40%;12,50%;25,50%;-52,60%;24,50%;530,90%;-83,00%;-52,90%;-1,20%;90,70%;10,10%
