Año Comercial;Region del domicilio o casa matriz;Provincia del domicilio o casa matriz;Comuna del domicilio o casa matriz;Actividad economica;Glosa actividad economica;Número de empresas;Ventas anuales en UF;Trabajadores dependientes informados ponderados;Renta neta informada;Trabajadores a honorarios ponderados por meses trabajados;Honorarios pagados informados;COD_ACT;ACT;CUT_comuna;ACT Prioritaria;
2012;Región de Tarapacá;Iquique;Iquique;551001;Actividades de hoteles;85;516.282,96;515,166;68.130,9550;166;16.350,792;1;Alojamiento turístico;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;551002;Actividades de moteles;3;*;5,750;*;2;*;1;Alojamiento turístico;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;559001;Actividades de residenciales para estudiantes y trabajadores;81;75.200,78;84,417;5.989,1840;48;3.211,949;1;Alojamiento turístico;1101;NO;
2012;Región de Tarapacá;Iquique;Iquique;559009;Otras actividades de alojamiento n.c.p.;22;59.725,64;60,250;6.684,3820;59;8.392,627;1;Alojamiento turístico;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;561000;Actividades de restaurantes y de servicio móvil de comidas;406;1.084.098,49;1.080,583;89.823,7840;231;14.714,293;2;Actividades de provisión de alimentos y bebidas;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;562900;"Suministro industrial de comidas por encargo; concesión de servicios de alimentación";236;289.941,43;256,250;20.734,3960;106;5.450,974;2;Actividades de provisión de alimentos y bebidas;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;563001;Actividades de discotecas y cabaret (night club), con predominio del servicio de bebidas;8;*;11,583;*;4;*;2;Actividades de provisión de alimentos y bebidas;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;491100;Transporte interurbano de pasajeros por ferrocarril;1;*;1,000;*;0;*;3;Transporte de pasajeros por ferrocarril;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;492210;Servicios de transporte de escolares;20;3.689,99;0,000;0,0000;0;0,687;4;Transporte de pasajeros por carretera;1101;NO;
2012;Región de Tarapacá;Iquique;Iquique;492220;Servicios de transporte de trabajadores;54;515.299,22;605,500;94.338,0870;17;2.133,824;4;Transporte de pasajeros por carretera;1101;NO;
2012;Región de Tarapacá;Iquique;Iquique;492230;Servicios de transporte de pasajeros en taxis libres y radiotaxis;65;21.179,67;12,417;879,3130;6;879,552;4;Transporte de pasajeros por carretera;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;492240;Servicios de transporte a turistas;12;15.090,34;15,583;1.203,8570;3;495,609;4;Transporte de pasajeros por carretera;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;492250;Transporte de pasajeros en buses interurbanos;47;160.276,30;315,917;32.075,8650;12;1.022,900;4;Transporte de pasajeros por carretera;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;492290;Otras actividades de transporte de pasajeros por vía terrestre n.c.p.;269;418.287,64;891,333;71.870,7690;53;3.298,977;4;Transporte de pasajeros por carretera;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;502100;Transporte de pasajeros por vías de navegación interiores;2;*;7,417;*;1;*;5;Transporte de pasajeros por agua;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;511000;Transporte de pasajeros por vía aérea;1;*;0,000;*;0;*;6;Transporte aéreo de pasajeros;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;771000;Alquiler de vehículos automotores sin chofer;40;73.827,23;15,250;5.108,4750;7;186,793;7;Alquiler de equipos de transporte;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;791100;Actividades de agencias de viajes;23;33.504,22;39,583;3.478,5460;6;2.102,582;8;Actividades de agencias de viajes y de otros servicios de reservas;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;900001;Servicios de producción de obras de teatro, conciertos, espectáculos de danza, otras prod. escénicas;9;*;4,083;*;3;*;9;Actividades culturales;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;900002;Actividades artísticas realizadas por bandas de música, compañías de teatro, circenses y similares;2;*;1,000;*;1;*;9;Actividades culturales;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;900003;Actividades de artistas realizadas de forma independiente: actores, músicos, escritores, entre otros;1;*;0,000;*;0;*;9;Actividades culturales;1101;NO;
2012;Región de Tarapacá;Iquique;Iquique;900004;Servicios prestados por periodistas independientes;1;*;0,000;*;0;*;9;Actividades culturales;1101;NO;
2012;Región de Tarapacá;Iquique;Iquique;772100;Alquiler y arrendamiento de equipo recreativo y deportivo;2;*;0,000;*;0;*;10;Actividades deportivas y recreativas;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;920090;Otras actividades de juegos de azar y apuestas n.c.p.;1;*;2,000;*;0;*;10;Actividades deportivas y recreativas;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;931109;Gestión de otras instalaciones deportivas n.c.p.;1;*;0,000;*;0;*;10;Actividades deportivas y recreativas;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;931901;Promoción y organización de competencias deportivas;1;*;0,000;*;0;*;10;Actividades deportivas y recreativas;1101;SI;
2012;Región de Tarapacá;Iquique;Iquique;932100;Actividades de parques de atracciones y parques temáticos;1;*;0,000;*;0;*;10;Actividades deportivas y recreativas;1101;SI;
